Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
78,102,125835,MAYBELLE::IRGC 78629-1,78629,1995WS,0,2,3,2,2,3,2,,,052,080,,000,,,,2,,060,061,1,1,,3,,011,3,020,1,7,,9,2,010,1,020,4,3,061,063,1,041,1,060,2,1,5
79,103,125642,ARC 11626::IRGC 21528-1,21528,,0,1,4,2,3,3,2,,,,080,,000,,,,3,,060,061,1,1,,5,,011,3,020,4,3,,5,3,010,1,020,4,3,061,060,1,060,5,,2,1,9
80,104,126147,C 1 6-5-2::IRGC 10669-1,10669,,0,2,4,2,3,4,3,,,,080,,000,,,,3,,084,080,3,1,,5,,011,,020,,9,,9,2,010,,020,4,3,080,060,7,041,,,,,5
81,106,126302,LIMBAYAN::IRGC 71556-1,71556,,0,2,6,2,3,4,2,,,,087,,000,,,,2,,060,061,3,1,,3,,011,3,020,1,7,,7,3,010,1,080,4,3,061,060,1,060,3,,2,1,5
82,107,117446,CHHOTE DHAN::IRGC 58930-1,58930,1992WS,0,1,3,1,2,3,2,,,020,052,,000,,,,3,,060,061,5,1,,5,,011,2,020,3,9,,9,3,010,1,020,4,1,061,060,1,041,5,060,2,1,5
83,108,126176,ARC 7091::IRGC 20491-1,20491,,0,1,6,2,4,3,2,,,,080,,000,,,,3,,060,060,3,1,,3,,011,,054,,9,,1,2,010,,040,4,3,061,060,9,060,,,,,5
84,110,120876,AUS 439::IRGC 29221-1,29221,,1,1,4,3,3,3,2,,,,010,,020,,,,3,,080,080,3,1,,1,,011,,042,,9,,9,3,010,,,4,3,080,063,1,080,,,,,1
85,111,120996,JAMBALI::IRGC 73101-1,73101,,0,2,4,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,020,4,7,,5,2,010,1,020,5,3,061,060,3,060,5,,2,1,5
86,112,125602,BEGUM::IRGC 33990-1,33990,,0,1,3,2,3,3,2,,,,080,,000,,,,3,,081,080,5,1,,5,,011,3,020,2,7,,7,1,010,1,020,5,3,080,060,1,080,3,,2,1,5
87,113,131919,SOLAY GHAT::IRGC 73121-1,73121,,1,1,4,2,3,3,2,,,,020,,020,,,,3,,060,061,1,1,,1,,011,3,042,5,3,,5,1,051,1,020,3,3,061,060,3,041,3,,2,1,5
